,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
adams9500wrd,77.45,Davante Adams,9500,GB,PHI,,,16.34,22.2,10.5,0.75,1.7,14.5,29.1,15.59,4,0.91,1,7.8,7,0,0.89,0.4,58,29,21,0.7,-8,50,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0.8,0.53,32,0.67,0,16.6,0,1.72,0.29,100,0,0,30,21.1,6.4,1500,1.88,0.36,75,0.4,0.15,20,WR,1320,0,0,0,0,11,8,97,27,12,10,7.3,0.346,0,0.325,0.433,0.368,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams9500wrd,52101-45889:Davante Adams,52101-45889,WR,d,Davante Adams,adams,21.31111145,9,9500,PHI@GB,GB,PHI,,,,ryland,ryland,davante,adams9500wrd
agholor5400wrn,87,Nelson Agholor,5400,LV,@NYJ,,,8.62,12.1,5.1,2.38,1.6,3,5.8,6.24,-11,0.58,0.85,2.7,4,0,0.95,3.2,43,27.8,20.3,0,-7.5,48,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.27,0.13,38,0.55,0.02,9.9,400,1.8,0.24,75,0.5,0.25,40,6.7,30,500,1.67,0.16,56,0.37,0.37,16,WR,1320,0,0,0,0,4,2,45,24,17.1,0.5,0,0.333,0,0.131,0.316,0.186,0,0,0,0,0,0,0,0,0,0,agholor,nelson agholor,n,agholor5400wrn,52101-29683:Nelson Agholor,52101-29683,WR,n,Nelson Agholor,agholor,9.109090632,11,5400,LV@NYJ,LV,NYJ,,,,ryland,ryland,nelson,agholor5400wrn
agnew4600wrj,46.75,Jamal Agnew,4600,DET,@CHI,,,2.21,3.2,1.2,-2.21,0.5,0.5,3.4,4.42,-38,0.21,0,0,0,0,0.16,2,14,20.5,23.5,0.2,3,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,36,0.77,0.09,0,-200,0,0,0,0,0,10,0,0,-200,0,0,0,0,0,10,WR,1320,0,0,0,0,1,0,4,3,4.6,0,-0.5,0,0,0.05,0,0.017,0,0,0,0,0,0,0,0,0,0,agnew,jamal agnew,j,agnew4600wrj,52101-79979:Jamal Agnew,52101-79979,WR,j,Jamal Agnew,agnew,1.200000021,9,4600,DET@CHI,DET,CHI,,,,ryland,ryland,jamal,agnew4600wrj
akers5600rbc,61.7,Cam Akers,5600,LA,@ARI,,,6.37,8.5,4.2,-1.31,1.1,0.5,15.9,7.68,-8,0.56,0.86,1.1,1,0,0.44,-1.7,12,25.8,23.3,1,-2.5,49,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,4.8,0.1,0.542,0.91,0.64,0.27,0,0,0,8.9,500,1.06,0.59,100,0.33,0,30,6.4,-0.5,-200,0.93,0.53,54,0.09,0.09,11,RB,1320,0.083,0.248,0.173,6,0,0,3,3,90,0.1,0,0.111,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,akers,cam akers,c,akers5600rbc,52101-89230:Cam Akers,52101-89230,RB,c,Cam Akers,akers,4.966666751,9,5600,LAR@ARI,LAR,ARI,,,,ryland,ryland,cam,akers5600rbc
akins5200tej,86.95,Jordan Akins,5200,HOU,IND,,,6.85,9.6,4.1,1.45,1.3,6.5,2,5.4,-5,0.62,0.93,7.5,1,0,0.02,-0.2,36,23.3,26.8,-2,3.5,50,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.2,0,0,0,0,3.8,400,1.08,0.15,50,0.25,0.5,40,3.8,-0.1,900,0.94,0.11,42,0.31,0.42,19,TE,1320,0,0,0,0,4,2,32,13,11.7,0.1,4.2,0.125,0,0.127,0.056,0.123,0,0,0,0,0,0,0,0,0,0,akins,jordan akins,j,akins5200tej,52101-57338:Jordan Akins,52101-57338,TE,j,Jordan Akins,akins,5.612500191,8,5200,IND@HOU,HOU,IND,,,,ryland,ryland,jordan,akins5200tej
alie-cox4800tem,80.5,Mo Alie-Cox,4800,IND,@HOU,,,5.23,7.6,2.8,0.76,1.1,0.5,3.8,4.47,-5,0.62,1,0.3,4,0,0.08,0.8,32,26.8,23.3,-1,-3.5,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.13,0.13,0,0,0,3.2,-200,1.15,0.08,50,0,0.25,40,4.7,10,800,2.04,0.15,66,0.13,0.13,15,TE,1320,0,0,0,0,2,1,26,15,13.8,0.1,11,0.4,0,0.07,0.133,0.112,0,0,0,0,0,0,0,0,0,0,alie-cox,mo alie-cox,m,alie-cox4800tem,52101-24533:Mo Alie-Cox,52101-24533,TE,m,Mo Alie-Cox,alie-cox,4.981818112,11,4800,IND@HOU,IND,HOU,,,,ryland,ryland,mo,alie-cox4800tem
allen6000qbb,63.5,Brandon Allen,6000,CIN,@MIA,,,12.64,21.8,3.5,-0.59,2.1,0.5,9.42,13.23,-7,0.27,0,0,0,0,0.87,-2.2,49,16.3,26.8,0.5,10.5,43,43,17,29,136,58,4.7,2.9,1,18,17.2,55.2,20.7,3.4,3.4,6.5,4,4,7,1.8,0,0.25,0.2,0.07,0.07,81,0.67,0.02,7.1,0,0.2,0.15,33,0,0,30,1.4,-0.4,0,0.04,0.03,6,0,0.26,15,QB,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,brandon allen,b,allen6000qbb,52101-31170:Brandon Allen,52101-31170,QB,b,Brandon Allen,allen,3.569999933,2,6000,CIN@MIA,CIN,MIA,,,,ryland,ryland,brandon,allen6000qbb
allen8100wrk,82.35,Keenan Allen,8100,LAC,NE,,,13.87,18.7,9.1,1.47,1.7,14.5,7.3,12.4,0,0.84,0.92,2.4,8,0,0.97,1.3,63,24.8,22.3,-0.5,-2.5,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.47,0.13,0,0,0,18.2,600,1.55,0.25,100,0.5,0,40,14.9,4.5,1100,1.27,0.24,93,0.46,0.06,15,WR,1320,0,0,0,0,10,7,80,21,10.7,0.5,9.8,0.368,0,0.282,0.267,0.274,0,0,0,0,0,0,0,0,0,0,allen,keenan allen,k,allen8100wrk,52101-29253:Keenan Allen,52101-29253,WR,k,Keenan Allen,allen,15.45454545,11,8100,NE@LAC,LAC,NE,,,,ryland,ryland,keenan,allen8100wrk
amendola5000wrd,68.2,Danny Amendola,5000,DET,@CHI,,,5.79,8.3,3.2,0.46,1.2,0.5,7.7,5.33,-13,0.55,0,0,1,0,0.58,2,39,20.5,23.5,0.2,3,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.2,0,36,0.77,0.09,7,-300,0.99,0.2,25,0.25,0.25,40,6.6,0.5,-100,1,0.17,60,0.33,0.26,15,WR,1320,0,0,0,0,5,3,44,23,13,0,5.8,0,0,0.162,0,0.181,0,0,0,0,0,0,0,0,0,0,amendola,danny amendola,d,amendola5000wrd,52101-8117:Danny Amendola,52101-8117,WR,d,Danny Amendola,amendola,6.14444436,9,5000,DET@CHI,DET,CHI,,,,ryland,ryland,danny,amendola5000wrd
arizona3800,37.89,Arizona,3800,ARI,LA,,,6.2,12.8,-0.4,1.17,1.6,3,0,5.03,-5,0.4,0,0,1,0,0.8,3.4,0,23.3,25.8,-0.5,2.5,49,46,0,0,0,0,0,0,0,0,0,0,0,0,1.69,6.57,0,0,0,0,0,0,0,0,0,0,0,0,2.8,-500,0,0,80,0,0,50,5.4,0.3,500,0,0,87,0.5,0.06,16,DEF,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5047,0.5122,0.0096,0.0382,6.72,9.87,5.07,30,0.1892,arizona,arizona,a,arizona3800,52101-12546:Arizona Cardinals,52101-12546,D,a,Arizona Cardinals,cardinals,5.909090909,11,3800,LAR@ARI,ARI,LAR,,,,Cardinals,Cardinals,arizona,arizona3800
